
"Claimant count by sex and age"
"ONS Crown Copyright Reserved [from Nomis on 12 September 2024]"
"Analysis   :","standard"
"Gender     :","Total"
"Age        :","All categories: Age 16+"
"measure    :","Claimant count"

"Date","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales","Scotland","Northern Ireland"
"May 2024",8515,23485,17920,12315,22240,12965,27590,17440,9510,7705,12395,3445
"June 2024",8345,23285,17840,12185,22145,12715,27775,17025,9340,7610,12315,3385
"July 2024",8510,23655,18225,12465,22625,12980,28605,17345,9475,7655,12645,3490
"August 2024",8625,24060,18445,12680,23345,13290,29075,17570,9570,7755,12960,3610



"","Commencing in May 2024, the Department for Work and Pensions are rolling out"
"","an increase in the administrative earnings threshold for full work search"
"","conditionality. This change is likely to affect around 180,000 claimants"
"","over"
"","a period of around 6 months, increasing the Claimant Count over that time."
"",""

"","Under Universal Credit a broader span of claimants are required to look for"
"","work than under Jobseeker's Allowance. Therefore, as Universal Credit has been"
"","rolled out, the number of people recorded as being on the Claimant Count rose."
"",""

"","This dataset only includes claimant records with information to sufficiently"
"","classify them within the dataset. Totals from this dataset may not tally with"
"","the total number of claim records shown elsewhere as a small number of records"
"","do not have this information."
"",""

"","All data are rounded to the nearest 5 and may not precisely add to the sum of"
"","the number of people claiming JSA, published on Nomis, and the number of"
"","people claiming Universal Credit required to seek work, published by DWP, due to"
"","independent rounding."
"",""

"","Rates for regions and countries from 2021 onwards are calculated using"
"","the mid-2021 resident population aged 16-64"







"Claimant count by sex and age"
"ONS Crown Copyright Reserved [from Nomis on 12 September 2024]"
"Analysis   :","standard"
"Gender     :","Male"
"Age        :","Aged 16-24"
"measure    :","Claimants as a proportion of residents aged 16-64"

"Date","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales","Scotland","Northern Ireland"

"January 2021",-,-,-,-,-,-,-,-,-,-,-,-
"February 2021",-,-,-,-,-,-,-,-,-,-,-,-
"March 2021",-,-,-,-,-,-,-,-,-,-,-,-
"April 2021",-,-,-,-,-,-,-,-,-,-,-,-
"May 2021",-,-,-,-,-,-,-,-,-,-,-,-
"June 2021",-,-,-,-,-,-,-,-,-,-,-,-
"July 2021",-,-,-,-,-,-,-,-,-,-,-,-
"August 2021",-,-,-,-,-,-,-,-,-,-,-,-
"September 2021",-,-,-,-,-,-,-,-,-,-,-,-
"October 2021",-,-,-,-,-,-,-,-,-,-,-,-
"November 2021",-,-,-,-,-,-,-,-,-,-,-,-
"December 2021",-,-,-,-,-,-,-,-,-,-,-,-
"January 2022",-,-,-,-,-,-,-,-,-,-,-,-
"February 2022",-,-,-,-,-,-,-,-,-,-,-,-
"March 2022",-,-,-,-,-,-,-,-,-,-,-,-
"April 2022",-,-,-,-,-,-,-,-,-,-,-,-
"May 2022",-,-,-,-,-,-,-,-,-,-,-,-
"June 2022",-,-,-,-,-,-,-,-,-,-,-,-
"July 2022",-,-,-,-,-,-,-,-,-,-,-,-
"August 2022",-,-,-,-,-,-,-,-,-,-,-,-
"September 2022",-,-,-,-,-,-,-,-,-,-,-,-
"October 2022",-,-,-,-,-,-,-,-,-,-,-,-
"November 2022",-,-,-,-,-,-,-,-,-,-,-,-
"December 2022",-,-,-,-,-,-,-,-,-,-,-,-
"January 2023",-,-,-,-,-,-,-,-,-,-,-,-
"February 2023",-,-,-,-,-,-,-,-,-,-,-,-
"March 2023",-,-,-,-,-,-,-,-,-,-,-,-
"April 2023",-,-,-,-,-,-,-,-,-,-,-,-
"May 2023",-,-,-,-,-,-,-,-,-,-,-,-
"June 2023",-,-,-,-,-,-,-,-,-,-,-,-
"July 2023",-,-,-,-,-,-,-,-,-,-,-,-
"August 2023",-,-,-,-,-,-,-,-,-,-,-,-
"September 2023",-,-,-,-,-,-,-,-,-,-,-,-
"October 2023",-,-,-,-,-,-,-,-,-,-,-,-
"November 2023",-,-,-,-,-,-,-,-,-,-,-,-
"December 2023",-,-,-,-,-,-,-,-,-,-,-,-
"January 2024",-,-,-,-,-,-,-,-,-,-,-,-
"February 2024",-,-,-,-,-,-,-,-,-,-,-,-
"March 2024",-,-,-,-,-,-,-,-,-,-,-,-
"April 2024",-,-,-,-,-,-,-,-,-,-,-,-
"May 2024",-,-,-,-,-,-,-,-,-,-,-,-
"June 2024",-,-,-,-,-,-,-,-,-,-,-,-
"July 2024",-,-,-,-,-,-,-,-,-,-,-,-
"August 2024",-,-,-,-,-,-,-,-,-,-,-,-



"-","These figures are missing."

"","Commencing in May 2024, the Department for Work and Pensions are rolling out"
"","an increase in the administrative earnings threshold for full work search"
"","conditionality. This change is likely to affect around 180,000 claimants"
"","over"
"","a period of around 6 months, increasing the Claimant Count over that time."
"",""

"","Under Universal Credit a broader span of claimants are required to look for"
"","work than under Jobseeker's Allowance. Therefore, as Universal Credit has been"
"","rolled out, the number of people recorded as being on the Claimant Count rose."
"",""

"","This dataset only includes claimant records with information to sufficiently"
"","classify them within the dataset. Totals from this dataset may not tally with"
"","the total number of claim records shown elsewhere as a small number of records"
"","do not have this information."
"",""

"","All data are rounded to the nearest 5 and may not precisely add to the sum of"
"","the number of people claiming JSA, published on Nomis, and the number of"
"","people claiming Universal Credit required to seek work, published by DWP, due to"
"","independent rounding."
"",""

"","Rates for regions and countries from 2021 onwards are calculated using"
"","the mid-2021 resident population aged 16-64"







"Claimant count by sex and age"
"ONS Crown Copyright Reserved [from Nomis on 12 September 2024]"
"Analysis   :","standard"
"Gender     :","Male"
"Age        :","Aged 16-24"
"measure    :","Claimants as a proportion of economically active residents aged 16+"

"Date","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales","Scotland","Northern Ireland"

"January 2021",-,-,-,-,-,-,-,-,-,-,-,-
"February 2021",-,-,-,-,-,-,-,-,-,-,-,-
"March 2021",-,-,-,-,-,-,-,-,-,-,-,-
"April 2021",-,-,-,-,-,-,-,-,-,-,-,-
"May 2021",-,-,-,-,-,-,-,-,-,-,-,-
"June 2021",-,-,-,-,-,-,-,-,-,-,-,-
"July 2021",-,-,-,-,-,-,-,-,-,-,-,-
"August 2021",-,-,-,-,-,-,-,-,-,-,-,-
"September 2021",-,-,-,-,-,-,-,-,-,-,-,-
"October 2021",-,-,-,-,-,-,-,-,-,-,-,-
"November 2021",-,-,-,-,-,-,-,-,-,-,-,-
"December 2021",-,-,-,-,-,-,-,-,-,-,-,-
"January 2022",-,-,-,-,-,-,-,-,-,-,-,-
"February 2022",-,-,-,-,-,-,-,-,-,-,-,-
"March 2022",-,-,-,-,-,-,-,-,-,-,-,-
"April 2022",-,-,-,-,-,-,-,-,-,-,-,-
"May 2022",-,-,-,-,-,-,-,-,-,-,-,-
"June 2022",-,-,-,-,-,-,-,-,-,-,-,-
"July 2022",-,-,-,-,-,-,-,-,-,-,-,-
"August 2022",-,-,-,-,-,-,-,-,-,-,-,-
"September 2022",-,-,-,-,-,-,-,-,-,-,-,-
"October 2022",-,-,-,-,-,-,-,-,-,-,-,-
"November 2022",-,-,-,-,-,-,-,-,-,-,-,-
"December 2022",-,-,-,-,-,-,-,-,-,-,-,-
"January 2023",-,-,-,-,-,-,-,-,-,-,-,-
"February 2023",-,-,-,-,-,-,-,-,-,-,-,-
"March 2023",-,-,-,-,-,-,-,-,-,-,-,-
"April 2023",-,-,-,-,-,-,-,-,-,-,-,-
"May 2023",-,-,-,-,-,-,-,-,-,-,-,-
"June 2023",-,-,-,-,-,-,-,-,-,-,-,-
"July 2023",-,-,-,-,-,-,-,-,-,-,-,-
"August 2023",-,-,-,-,-,-,-,-,-,-,-,-
"September 2023",-,-,-,-,-,-,-,-,-,-,-,-
"October 2023",-,-,-,-,-,-,-,-,-,-,-,-
"November 2023",-,-,-,-,-,-,-,-,-,-,-,-
"December 2023",-,-,-,-,-,-,-,-,-,-,-,-
"January 2024",-,-,-,-,-,-,-,-,-,-,-,-
"February 2024",-,-,-,-,-,-,-,-,-,-,-,-
"March 2024",-,-,-,-,-,-,-,-,-,-,-,-
"April 2024",-,-,-,-,-,-,-,-,-,-,-,-
"May 2024",-,-,-,-,-,-,-,-,-,-,-,-
"June 2024",-,-,-,-,-,-,-,-,-,-,-,-
"July 2024",-,-,-,-,-,-,-,-,-,-,-,-
"August 2024",-,-,-,-,-,-,-,-,-,-,-,-



"-","These figures are missing."

"","Commencing in May 2024, the Department for Work and Pensions are rolling out"
"","an increase in the administrative earnings threshold for full work search"
"","conditionality. This change is likely to affect around 180,000 claimants"
"","over"
"","a period of around 6 months, increasing the Claimant Count over that time."
"",""

"","Under Universal Credit a broader span of claimants are required to look for"
"","work than under Jobseeker's Allowance. Therefore, as Universal Credit has been"
"","rolled out, the number of people recorded as being on the Claimant Count rose."
"",""

"","This dataset only includes claimant records with information to sufficiently"
"","classify them within the dataset. Totals from this dataset may not tally with"
"","the total number of claim records shown elsewhere as a small number of records"
"","do not have this information."
"",""

"","All data are rounded to the nearest 5 and may not precisely add to the sum of"
"","the number of people claiming JSA, published on Nomis, and the number of"
"","people claiming Universal Credit required to seek work, published by DWP, due to"
"","independent rounding."
"",""

"","Rates for regions and countries from 2021 onwards are calculated using"
"","the mid-2021 resident population aged 16-64"







"Claimant count by sex and age"
"ONS Crown Copyright Reserved [from Nomis on 12 September 2024]"
"Analysis   :","standard"
"Gender     :","Male"
"Age        :","Aged 16-24"
"measure    :","Claimants as a proportion of the workforce"

"Date","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales","Scotland","Northern Ireland"

"January 2021",-,-,-,-,-,-,-,-,-,-,-,-
"February 2021",-,-,-,-,-,-,-,-,-,-,-,-
"March 2021",-,-,-,-,-,-,-,-,-,-,-,-
"April 2021",-,-,-,-,-,-,-,-,-,-,-,-
"May 2021",-,-,-,-,-,-,-,-,-,-,-,-
"June 2021",-,-,-,-,-,-,-,-,-,-,-,-
"July 2021",-,-,-,-,-,-,-,-,-,-,-,-
"August 2021",-,-,-,-,-,-,-,-,-,-,-,-
"September 2021",-,-,-,-,-,-,-,-,-,-,-,-
"October 2021",-,-,-,-,-,-,-,-,-,-,-,-
"November 2021",-,-,-,-,-,-,-,-,-,-,-,-
"December 2021",-,-,-,-,-,-,-,-,-,-,-,-
"January 2022",-,-,-,-,-,-,-,-,-,-,-,-
"February 2022",-,-,-,-,-,-,-,-,-,-,-,-
"March 2022",-,-,-,-,-,-,-,-,-,-,-,-
"April 2022",-,-,-,-,-,-,-,-,-,-,-,-
"May 2022",-,-,-,-,-,-,-,-,-,-,-,-
"June 2022",-,-,-,-,-,-,-,-,-,-,-,-
"July 2022",-,-,-,-,-,-,-,-,-,-,-,-
"August 2022",-,-,-,-,-,-,-,-,-,-,-,-
"September 2022",-,-,-,-,-,-,-,-,-,-,-,-
"October 2022",-,-,-,-,-,-,-,-,-,-,-,-
"November 2022",-,-,-,-,-,-,-,-,-,-,-,-
"December 2022",-,-,-,-,-,-,-,-,-,-,-,-
"January 2023",-,-,-,-,-,-,-,-,-,-,-,-
"February 2023",-,-,-,-,-,-,-,-,-,-,-,-
"March 2023",-,-,-,-,-,-,-,-,-,-,-,-
"April 2023",-,-,-,-,-,-,-,-,-,-,-,-
"May 2023",-,-,-,-,-,-,-,-,-,-,-,-
"June 2023",-,-,-,-,-,-,-,-,-,-,-,-
"July 2023",-,-,-,-,-,-,-,-,-,-,-,-
"August 2023",-,-,-,-,-,-,-,-,-,-,-,-
"September 2023",-,-,-,-,-,-,-,-,-,-,-,-
"October 2023",-,-,-,-,-,-,-,-,-,-,-,-
"November 2023",-,-,-,-,-,-,-,-,-,-,-,-
"December 2023",-,-,-,-,-,-,-,-,-,-,-,-
"January 2024",-,-,-,-,-,-,-,-,-,-,-,-
"February 2024",-,-,-,-,-,-,-,-,-,-,-,-
"March 2024",-,-,-,-,-,-,-,-,-,-,-,-
"April 2024",-,-,-,-,-,-,-,-,-,-,-,-
"May 2024",-,-,-,-,-,-,-,-,-,-,-,-
"June 2024",-,-,-,-,-,-,-,-,-,-,-,-
"July 2024",-,-,-,-,-,-,-,-,-,-,-,-
"August 2024",-,-,-,-,-,-,-,-,-,-,-,-



"-","These figures are missing."

"","Commencing in May 2024, the Department for Work and Pensions are rolling out"
"","an increase in the administrative earnings threshold for full work search"
"","conditionality. This change is likely to affect around 180,000 claimants"
"","over"
"","a period of around 6 months, increasing the Claimant Count over that time."
"",""

"","Under Universal Credit a broader span of claimants are required to look for"
"","work than under Jobseeker's Allowance. Therefore, as Universal Credit has been"
"","rolled out, the number of people recorded as being on the Claimant Count rose."
"",""

"","This dataset only includes claimant records with information to sufficiently"
"","classify them within the dataset. Totals from this dataset may not tally with"
"","the total number of claim records shown elsewhere as a small number of records"
"","do not have this information."
"",""

"","All data are rounded to the nearest 5 and may not precisely add to the sum of"
"","the number of people claiming JSA, published on Nomis, and the number of"
"","people claiming Universal Credit required to seek work, published by DWP, due to"
"","independent rounding."
"",""

"","Rates for regions and countries from 2021 onwards are calculated using"
"","the mid-2021 resident population aged 16-64"







"Claimant count by sex and age"
"ONS Crown Copyright Reserved [from Nomis on 12 September 2024]"
"Analysis   :","standard"
"Gender     :","Male"
"Age        :","Aged 25-49"
"measure    :","Claimant count"

"Date","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales","Scotland","Northern Ireland"

"January 2021",39550,109075,73545,51225,86710,63255,161465,91175,52795,35995,71525,19400
"February 2021",41025,114180,77045,54380,90990,67630,171165,97115,56395,37655,74445,20320
"March 2021",40615,113545,76950,54150,90335,67315,171675,96625,55945,37160,74335,19910
"April 2021",39665,111790,75550,52985,88765,66275,170220,94885,54655,36355,72620,19665
"May 2021",37475,105640,71550,49815,84555,61585,160075,87645,50205,34295,67915,18370
"June 2021",35530,99335,67640,46655,80820,56260,147125,80140,45910,31820,63190,17150
"July 2021",34770,97090,66430,45580,79470,55000,144780,78645,44715,31000,61525,16935
"August 2021",33460,93445,64150,43940,76835,52400,137835,75240,42355,29625,58805,16495
"September 2021",32095,88675,61380,41660,73725,49200,128675,70510,39810,28230,55135,15925
"October 2021",30795,85680,59400,40310,71630,47495,124575,68200,38500,27370,52710,15410
"November 2021",29630,82770,57265,38830,69240,46110,119695,66050,37030,26690,50980,14610
"December 2021",28765,80330,55510,37615,67330,44980,115770,64270,36065,26055,49835,14060
"January 2022",28775,79420,54860,37095,66540,44350,112080,63350,35545,26040,49555,13755
"February 2022",28635,79970,54845,37390,67130,44445,111990,63420,35565,26065,49390,13540
"March 2022",27560,77735,53100,36175,65670,42295,106665,60445,34180,25180,47255,12985
"April 2022",25960,74385,51075,34510,63715,40255,102190,57765,32090,23610,44430,12645
"May 2022",25250,72720,49425,33600,62140,38825,99670,55910,30545,22850,42565,12270
"June 2022",24620,71100,48150,32935,61180,37490,97400,54305,29630,22260,41255,12170
"July 2022",23920,69680,47455,32100,59950,36510,94125,52630,28500,21585,40560,12100
"August 2022",23675,69125,46805,31895,59380,36220,92965,52325,28245,21450,40050,12120
"September 2022",23440,68310,46095,31690,58810,35695,92680,51960,28100,21040,39200,11925
"October 2022",22780,66790,44855,30780,57800,34840,91385,51310,27465,20425,38125,11820
"November 2022",22720,66520,44935,30745,58080,34755,90905,51135,27795,20360,38350,11840
"December 2022",22950,66455,45080,31295,57805,34925,90580,51530,28110,20540,38835,11895
"January 2023",22965,66970,45385,31775,58175,35160,89870,51525,28150,20580,38950,11750
"February 2023",23205,68400,46325,32995,59125,35905,91590,52475,28520,20865,39680,11900
"March 2023",23410,69295,46905,33245,59905,35860,91940,52065,28340,20910,40100,11885
"April 2023",23330,69625,47365,33390,60685,36160,92545,51675,28315,20985,40225,12055
"May 2023",22410,67505,46190,32450,59350,35440,91005,50470,27385,20160,38740,11585
"June 2023",22345,67525,46005,32505,59510,35865,92755,51100,27485,20180,38455,11490
"July 2023",22180,67090,45750,32375,58835,35595,93220,50780,27140,19670,38190,11625
"August 2023",21820,66105,45220,31770,57960,35075,92240,50390,26810,19320,37430,11630
"September 2023",21375,65160,44595,31665,57710,34855,92690,50480,26650,19120,36365,11680
"October 2023",21050,64680,44490,31735,57695,34930,92855,50505,26805,19145,36075,11510
"November 2023",20990,65070,44835,31505,57600,35175,92735,50950,27315,19620,36130,11345
"December 2023",21150,65265,45490,31730,57960,35565,93785,51265,27700,19465,35780,11355
"January 2024",21550,66345,46455,32455,58925,36435,94530,52435,28670,19835,36230,11235
"February 2024",22155,68250,47645,33775,61065,37920,97835,54540,29995,20415,37330,11615
"March 2024",22135,69280,48400,34115,61470,38130,97465,53955,29860,20490,37550,11595
"April 2024",21910,69360,48635,33800,60700,37635,96390,53050,29465,20400,36790,11550
"May 2024",21790,69710,48935,34015,61210,37480,97970,53210,29185,20425,36485,11570
"June 2024",21745,69975,49445,34230,63770,38070,99610,53460,29055,20520,36595,11765
"July 2024",22665,73065,51625,35555,67115,39770,107205,55390,29980,21175,37665,12275
"August 2024",22695,73150,51935,35395,67590,40035,106560,55565,30040,20845,37970,12675



"","Commencing in May 2024, the Department for Work and Pensions are rolling out"
"","an increase in the administrative earnings threshold for full work search"
"","conditionality. This change is likely to affect around 180,000 claimants"
"","over"
"","a period of around 6 months, increasing the Claimant Count over that time."
"",""

"","Under Universal Credit a broader span of claimants are required to look for"
"","work than under Jobseeker's Allowance. Therefore, as Universal Credit has been"
"","rolled out, the number of people recorded as being on the Claimant Count rose."
"",""

"","This dataset only includes claimant records with information to sufficiently"
"","classify them within the dataset. Totals from this dataset may not tally with"
"","the total number of claim records shown elsewhere as a small number of records"
"","do not have this information."
"",""

"","All data are rounded to the nearest 5 and may not precisely add to the sum of"
"","the number of people claiming JSA, published on Nomis, and the number of"
"","people claiming Universal Credit required to seek work, published by DWP, due to"
"","independent rounding."
"",""

"","Rates for regions and countries from 2021 onwards are calculated using"
"","the mid-2021 resident population aged 16-64"







"Claimant count by sex and age"
"ONS Crown Copyright Reserved [from Nomis on 12 September 2024]"
"Analysis   :","standard"
"Gender     :","Male"
"Age        :","Aged 25-49"
"measure    :","Claimants as a proportion of residents aged 16-64"

"Date","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales","Scotland","Northern Ireland"

"January 2021",-,-,-,-,-,-,-,-,-,-,-,-
"February 2021",-,-,-,-,-,-,-,-,-,-,-,-
"March 2021",-,-,-,-,-,-,-,-,-,-,-,-
"April 2021",-,-,-,-,-,-,-,-,-,-,-,-
"May 2021",-,-,-,-,-,-,-,-,-,-,-,-
"June 2021",-,-,-,-,-,-,-,-,-,-,-,-
"July 2021",-,-,-,-,-,-,-,-,-,-,-,-
"August 2021",-,-,-,-,-,-,-,-,-,-,-,-
"September 2021",-,-,-,-,-,-,-,-,-,-,-,-
"October 2021",-,-,-,-,-,-,-,-,-,-,-,-
"November 2021",-,-,-,-,-,-,-,-,-,-,-,-
"December 2021",-,-,-,-,-,-,-,-,-,-,-,-
"January 2022",-,-,-,-,-,-,-,-,-,-,-,-
"February 2022",-,-,-,-,-,-,-,-,-,-,-,-
"March 2022",-,-,-,-,-,-,-,-,-,-,-,-
"April 2022",-,-,-,-,-,-,-,-,-,-,-,-
"May 2022",-,-,-,-,-,-,-,-,-,-,-,-
"June 2022",-,-,-,-,-,-,-,-,-,-,-,-
"July 2022",-,-,-,-,-,-,-,-,-,-,-,-
"August 2022",-,-,-,-,-,-,-,-,-,-,-,-
"September 2022",-,-,-,-,-,-,-,-,-,-,-,-
"October 2022",-,-,-,-,-,-,-,-,-,-,-,-
"November 2022",-,-,-,-,-,-,-,-,-,-,-,-
"December 2022",-,-,-,-,-,-,-,-,-,-,-,-
"January 2023",-,-,-,-,-,-,-,-,-,-,-,-
"February 2023",-,-,-,-,-,-,-,-,-,-,-,-
"March 2023",-,-,-,-,-,-,-,-,-,-,-,-
"April 2023",-,-,-,-,-,-,-,-,-,-,-,-
"May 2023",-,-,-,-,-,-,-,-,-,-,-,-
"June 2023",-,-,-,-,-,-,-,-,-,-,-,-
"July 2023",-,-,-,-,-,-,-,-,-,-,-,-
"August 2023",-,-,-,-,-,-,-,-,-,-,-,-
"September 2023",-,-,-,-,-,-,-,-,-,-,-,-
"October 2023",-,-,-,-,-,-,-,-,-,-,-,-
"November 2023",-,-,-,-,-,-,-,-,-,-,-,-
"December 2023",-,-,-,-,-,-,-,-,-,-,-,-
"January 2024",-,-,-,-,-,-,-,-,-,-,-,-
"February 2024",-,-,-,-,-,-,-,-,-,-,-,-
"March 2024",-,-,-,-,-,-,-,-,-,-,-,-
"April 2024",-,-,-,-,-,-,-,-,-,-,-,-
"May 2024",-,-,-,-,-,-,-,-,-,-,-,-
"June 2024",-,-,-,-,-,-,-,-,-,-,-,-
"July 2024",-,-,-,-,-,-,-,-,-,-,-,-
"August 2024",-,-,-,-,-,-,-,-,-,-,-,-



"-","These figures are missing."

"","Commencing in May 2024, the Department for Work and Pensions are rolling out"
"","an increase in the administrative earnings threshold for full work search"
"","conditionality. This change is likely to affect around 180,000 claimants"
"","over"
"","a period of around 6 months, increasing the Claimant Count over that time."
"",""

"","Under Universal Credit a broader span of claimants are required to look for"
"","work than under Jobseeker's Allowance. Therefore, as Universal Credit has been"
"","rolled out, the number of people recorded as being on the Claimant Count rose."
"",""

"","This dataset only includes claimant records with information to sufficiently"
"","classify them within the dataset. Totals from this dataset may not tally with"
"","the total number of claim records shown elsewhere as a small number of records"
"","do not have this information."
"",""

"","All data are rounded to the nearest 5 and may not precisely add to the sum of"
"","the number of people claiming JSA, published on Nomis, and the number of"
"","people claiming Universal Credit required to seek work, published by DWP, due to"
"","independent rounding."
"",""

"","Rates for regions and countries from 2021 onwards are calculated using"
"","the mid-2021 resident population aged 16-64"







"Claimant count by sex and age"
"ONS Crown Copyright Reserved [from Nomis on 12 September 2024]"
"Analysis   :","standard"
"Gender     :","Male"
"Age        :","Aged 25-49"
"measure    :","Claimants as a proportion of economically active residents aged 16+"

"Date","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales","Scotland","Northern Ireland"

"January 2021",-,-,-,-,-,-,-,-,-,-,-,-
"February 2021",-,-,-,-,-,-,-,-,-,-,-,-
"March 2021",-,-,-,-,-,-,-,-,-,-,-,-
"April 2021",-,-,-,-,-,-,-,-,-,-,-,-
"May 2021",-,-,-,-,-,-,-,-,-,-,-,-
"June 2021",-,-,-,-,-,-,-,-,-,-,-,-
"July 2021",-,-,-,-,-,-,-,-,-,-,-,-
"August 2021",-,-,-,-,-,-,-,-,-,-,-,-
"September 2021",-,-,-,-,-,-,-,-,-,-,-,-
"October 2021",-,-,-,-,-,-,-,-,-,-,-,-
"November 2021",-,-,-,-,-,-,-,-,-,-,-,-
"December 2021",-,-,-,-,-,-,-,-,-,-,-,-
"January 2022",-,-,-,-,-,-,-,-,-,-,-,-
"February 2022",-,-,-,-,-,-,-,-,-,-,-,-
"March 2022",-,-,-,-,-,-,-,-,-,-,-,-
"April 2022",-,-,-,-,-,-,-,-,-,-,-,-
"May 2022",-,-,-,-,-,-,-,-,-,-,-,-
"June 2022",-,-,-,-,-,-,-,-,-,-,-,-
"July 2022",-,-,-,-,-,-,-,-,-,-,-,-
"August 2022",-,-,-,-,-,-,-,-,-,-,-,-
"September 2022",-,-,-,-,-,-,-,-,-,-,-,-
"October 2022",-,-,-,-,-,-,-,-,-,-,-,-
"November 2022",-,-,-,-,-,-,-,-,-,-,-,-
"December 2022",-,-,-,-,-,-,-,-,-,-,-,-
"January 2023",-,-,-,-,-,-,-,-,-,-,-,-
"February 2023",-,-,-,-,-,-,-,-,-,-,-,-
"March 2023",-,-,-,-,-,-,-,-,-,-,-,-
"April 2023",-,-,-,-,-,-,-,-,-,-,-,-
"May 2023",-,-,-,-,-,-,-,-,-,-,-,-
"June 2023",-,-,-,-,-,-,-,-,-,-,-,-
"July 2023",-,-,-,-,-,-,-,-,-,-,-,-
"August 2023",-,-,-,-,-,-,-,-,-,-,-,-
"September 2023",-,-,-,-,-,-,-,-,-,-,-,-
"October 2023",-,-,-,-,-,-,-,-,-,-,-,-
"November 2023",-,-,-,-,-,-,-,-,-,-,-,-
"December 2023",-,-,-,-,-,-,-,-,-,-,-,-
"January 2024",-,-,-,-,-,-,-,-,-,-,-,-
"February 2024",-,-,-,-,-,-,-,-,-,-,-,-
"March 2024",-,-,-,-,-,-,-,-,-,-,-,-
"April 2024",-,-,-,-,-,-,-,-,-,-,-,-
"May 2024",-,-,-,-,-,-,-,-,-,-,-,-
"June 2024",-,-,-,-,-,-,-,-,-,-,-,-
"July 2024",-,-,-,-,-,-,-,-,-,-,-,-
"August 2024",-,-,-,-,-,-,-,-,-,-,-,-



"-","These figures are missing."

"","Commencing in May 2024, the Department for Work and Pensions are rolling out"
"","an increase in the administrative earnings threshold for full work search"
"","conditionality. This change is likely to affect around 180,000 claimants"
"","over"
"","a period of around 6 months, increasing the Claimant Count over that time."
"",""

"","Under Universal Credit a broader span of claimants are required to look for"
"","work than under Jobseeker's Allowance. Therefore, as Universal Credit has been"
"","rolled out, the number of people recorded as being on the Claimant Count rose."
"",""

"","This dataset only includes claimant records with information to sufficiently"
"","classify them within the dataset. Totals from this dataset may not tally with"
"","the total number of claim records shown elsewhere as a small number of records"
"","do not have this information."
"",""

"","All data are rounded to the nearest 5 and may not precisely add to the sum of"
"","the number of people claiming JSA, published on Nomis, and the number of"
"","people claiming Universal Credit required to seek work, published by DWP, due to"
"","independent rounding."
"",""

"","Rates for regions and countries from 2021 onwards are calculated using"
"","the mid-2021 resident population aged 16-64"







"Claimant count by sex and age"
"ONS Crown Copyright Reserved [from Nomis on 12 September 2024]"
"Analysis   :","standard"
"Gender     :","Male"
"Age        :","Aged 25-49"
"measure    :","Claimants as a proportion of the workforce"

"Date","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales","Scotland","Northern Ireland"

"January 2021",-,-,-,-,-,-,-,-,-,-,-,-
"February 2021",-,-,-,-,-,-,-,-,-,-,-,-
"March 2021",-,-,-,-,-,-,-,-,-,-,-,-
"April 2021",-,-,-,-,-,-,-,-,-,-,-,-
"May 2021",-,-,-,-,-,-,-,-,-,-,-,-
"June 2021",-,-,-,-,-,-,-,-,-,-,-,-
"July 2021",-,-,-,-,-,-,-,-,-,-,-,-
"August 2021",-,-,-,-,-,-,-,-,-,-,-,-
"September 2021",-,-,-,-,-,-,-,-,-,-,-,-
"October 2021",-,-,-,-,-,-,-,-,-,-,-,-
"November 2021",-,-,-,-,-,-,-,-,-,-,-,-
"December 2021",-,-,-,-,-,-,-,-,-,-,-,-
"January 2022",-,-,-,-,-,-,-,-,-,-,-,-
"February 2022",-,-,-,-,-,-,-,-,-,-,-,-
"March 2022",-,-,-,-,-,-,-,-,-,-,-,-
"April 2022",-,-,-,-,-,-,-,-,-,-,-,-
"May 2022",-,-,-,-,-,-,-,-,-,-,-,-
"June 2022",-,-,-,-,-,-,-,-,-,-,-,-
"July 2022",-,-,-,-,-,-,-,-,-,-,-,-
"August 2022",-,-,-,-,-,-,-,-,-,-,-,-
"September 2022",-,-,-,-,-,-,-,-,-,-,-,-
"October 2022",-,-,-,-,-,-,-,-,-,-,-,-
"November 2022",-,-,-,-,-,-,-,-,-,-,-,-
"December 2022",-,-,-,-,-,-,-,-,-,-,-,-
"January 2023",-,-,-,-,-,-,-,-,-,-,-,-
"February 2023",-,-,-,-,-,-,-,-,-,-,-,-
"March 2023",-,-,-,-,-,-,-,-,-,-,-,-
"April 2023",-,-,-,-,-,-,-,-,-,-,-,-
